time_tick,acc_X_value,acc_Y_value,acc_Z_value
11.664283,-10.461389,-8.648464,-9.484819
11.697518,-7.915214,-11.269311,-5.960578
11.73089,-2.1586,-13.841673,-5.240646
11.764253,3.433707,-14.429172,-3.475308
11.79747,3.089079,-16.251823,-6.048718
11.831005,-4.041706,-16.163084,-9.798919
11.864292,-8.882805,-12.241691,-10.294986
11.898209,-20.620199,-11.703126,-12.621485
11.930788,-56.995407,-10.00812,-25.162611
11.964194,-50.384032,3.522894,-18.35685
11.997845,-18.969488,15.654448,-6.502734
12.030943,-0.577322,20.588924,1.20298
12.064143,7.329362,26.813322,5.128713
12.100117,9.232222,30.880917,7.274892
12.130753,-0.868228,27.841669,3.462588
12.164167,-10.864377,22.033577,0.464791
12.197533,-14.163705,16.186878,-0.660075
12.230857,-30.388741,11.570692,-3.124395
12.264206,-52.914644,2.473598,-14.242567
12.297511,-55.953294,-11.528493,-19.790878
12.330922,-25.635932,-7.26307,-11.840947
12.364208,-8.336609,-9.073002,-3.763819
12.397591,-1.713262,-8.395718,-1.554341
12.430947,2.903672,-8.373271,-0.665911
12.464254,4.097374,-11.541063,-1.742293
12.497676,4.872225,-16.786646,-5.20129
12.531749,1.960772,-17.054358,-7.044442
12.564258,-6.479091,-13.873547,-10.805119
12.597795,-29.976475,-14.172384,-18.952279
12.630646,-65.78708,-12.133798,-24.328501
12.66417,-46.409515,0.801937,-15.357856
12.697512,-12.621335,16.570562,-2.471653
12.730822,2.696267,23.719455,5.238251
12.764159,8.414573,30.341305,9.275319
12.797467,5.260249,30.25107,7.400293
12.830869,-5.848944,25.476712,2.958591
12.864142,-12.955937,19.776812,0.650348
12.896763,-13.717919,14.504741,-0.935717
12.930588,-31.217314,15.394518,-2.503526
12.963345,-53.547783,3.73015,-15.089845
12.997576,-57.738983,-7.464041,-19.060321
13.030754,-18.6084,-9.023021,-7.356896
13.064164,-9.095897,-11.179675,-2.038436
13.097524,-1.485954,-11.159473,-0.772008
13.130534,4.257491,-10.503738,-2.094702
13.164164,3.73404,-12.311125,-4.412671
13.197494,1.221386,-16.423613,-6.419383
13.230879,-2.629077,-13.703553,-6.556905
13.26424,-8.525608,-12.95025,-9.845907
13.297581,-32.435558,-17.347508,-19.824249
13.330484,-63.209181,-12.613404,-25.418501
13.364737,-38.019335,8.290219,-11.759092
13.397534,-14.250348,17.681661,-2.939885
13.430696,1.923361,25.214388,4.129397
13.463617,7.139764,30.595398,7.358393
13.499365,4.279788,28.554717,5.833082
13.530078,-4.473277,23.518484,2.006562
13.564148,-10.966284,16.016285,1.227222
13.597163,-12.956984,11.915619,1.133246
13.630629,-22.105705,13.242503,1.253858
13.664156,-43.230052,10.042688,-11.707017
13.697697,-55.896429,-3.136965,-17.80796
13.730565,-25.24671,-7.198275,-9.74819
13.764137,-11.434218,-10.903135,-3.114219
13.797451,-0.07138,-11.509638,0.847877
13.831006,3.043738,-11.130442,1.132947
13.863386,5.38116,-13.403968,0.466736
13.897561,4.444545,-18.109939,-3.751698
13.930797,-2.639103,-14.289854,-8.032983
13.964211,-10.465878,-12.246031,-10.905978
13.997721,-34.102281,-16.626678,-20.317771
14.03106,-57.469925,-1.821454,-20.274674
14.064522,-35.660662,10.134269,-11.744577
14.097663,-15.524558,17.00318,-3.397194
14.130546,1.262089,21.510126,3.220765
14.16429,8.44899,30.85473,8.927249
14.197505,6.79379,30.005356,8.385243
14.230587,-3.100752,26.758553,3.40318
14.264156,-13.192522,20.999844,1.252362
14.296967,-15.0249,15.726875,0.983453
14.330588,-36.43282,21.137515,-4.124609
14.364191,-69.728525,-6.389305,-18.200323
14.396581,-39.77749,-7.789813,-13.813241
14.430672,-13.260759,-9.76525,-5.876179
14.464286,-1.590405,-11.490783,-1.543567
14.497548,4.428683,-13.613767,-1.423853
14.530999,5.145173,-14.937509,-3.971973
14.564181,3.180511,-15.810526,-7.737737
14.597526,-3.753943,-16.857877,-13.725251
14.630877,-10.053163,-11.348921,-14.343127
14.664209,-19.234207,-8.392874,-15.756953
14.697528,-51.976682,-5.463165,-24.205644
14.730948,-49.074955,5.531701,-15.986955
14.764183,-27.306995,12.193805,-8.232008
14.797625,-1.338257,19.516134,2.105776
14.830697,7.921948,25.626953,7.742376
14.864187,8.414124,27.797225,8.660137
14.897524,2.158899,26.968652,7.414509
14.930667,-9.515346,22.557178,3.345567
14.964159,-13.35264,18.592089,1.790478
14.997522,-17.730893,14.188995,1.162277
15.030305,-46.89795,14.816597,-8.29396
15.064377,-59.186329,-3.072469,-19.233907
15.097533,-35.169085,-5.773075,-14.373504
15.130902,-13.796182,-8.450936,-6.671232
15.164254,-4.011329,-10.893408,-3.133224
15.197622,1.677049,-10.714136,-2.368399
15.231005,4.321688,-10.853902,-2.538543
15.264273,3.63797,-14.88663,-8.404995
15.297591,-2.290734,-15.675847,-9.658704
15.330982,-4.897215,-14.589589,-7.297488
15.364193,-24.656818,-12.880217,-12.848194
15.397766,-53.484185,-7.442043,-19.68523
15.430845,-47.946049,3.003783,-17.188288
15.463797,-28.784868,12.838766,-8.951043
15.497612,-0.124653,17.423078,1.58427
15.530938,10.543842,24.271787,8.547755
15.564175,13.222451,30.0287,9.006111
15.597518,0.955171,28.109979,5.158641
15.630569,-10.751247,22.974682,1.038971
15.664325,-15.932485,19.867495,0.650648
