time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
13.391892,-2.33202,0.405427,1.740041
13.421861,-4.070998,1.851426,3.097806
13.461869,-4.698776,3.125826,6.408046
13.491837,-4.95611,2.073002,5.338941
13.521836,-3.777064,0.89694,2.622248
13.561814,-3.144193,0.056236,0.071408
13.591813,-2.070632,0.995472,-0.837579
13.621781,-0.155468,1.382742,-0.548156
13.661759,1.078243,-0.003885,-1.967565
13.691758,2.310353,-2.205349,-3.64007
13.721757,3.093959,-3.522458,-4.004695
13.761735,4.251121,-2.357151,-2.65555
13.791703,4.1083,-3.611708,-3.243776
13.821673,3.087481,-3.936079,-2.683153
13.861651,2.805373,-3.006356,0.097613
13.89165,3.092226,-1.463257,0.330879
13.921618,1.6226,-0.765986,0.529009
13.961627,1.480185,-0.230982,0.708197
13.991595,-1.336065,-0.911517,0.198761
14.021594,-3.633049,-0.253331,1.811916
14.061572,-5.325476,2.248321,3.49006
14.09157,-5.779055,2.748964,4.728306
14.121539,-5.293119,1.862435,2.739694
14.161517,-4.806146,0.505304,1.255937
14.191515,-2.824978,2.092427,1.270413
14.221514,-1.109594,2.320102,0.938132
14.261492,0.349566,0.770372,-0.538907
14.291461,1.892858,-0.300545,-2.509599
14.321459,2.874094,-1.777162,-3.810667
14.361437,3.896576,-2.432721,-3.682362
14.391436,4.285569,-2.41381,-3.140654
14.421404,4.079211,-3.385027,-3.545047
14.461413,2.215583,-4.550923,-0.978771
14.491381,3.154602,-2.393031,0.157222
14.52138,2.134778,-0.207182,0.225453
14.561358,1.155225,0.30882,1.070762
14.591357,-0.380492,-0.361555,0.474152
14.621325,-3.358276,-0.012986,1.049121
14.661303,-4.295815,2.077389,2.925627
14.691302,-5.682956,1.993556,3.578215
14.721301,-6.601054,0.801045,3.501559
14.761279,-4.976286,0.195901,1.683732
14.791277,-3.323407,1.072061,1.49948
14.821207,-2.033498,2.327621,0.793862
14.861185,-0.057031,2.29245,-0.186439
14.891184,1.55273,1.298547,-1.551137
14.921182,2.167838,-0.859938,-3.717615
14.96116,4.295741,-2.797415,-4.584254
14.991129,5.647412,-0.99491,-4.399364
15.021127,4.336801,-2.862463,-5.034132
15.061105,2.433732,-4.585561,-2.074131
15.091104,3.127709,-3.726475,-0.103588
15.121072,3.464591,-2.227124,0.158529
15.161081,1.77945,-0.206853,0.906893
15.191049,1.945143,0.076548,1.318791
15.221048,-1.326633,-1.213242,0.608437
15.261026,-3.289243,0.994247,2.693483
15.291025,-5.005038,2.232142,3.980142
15.320993,-5.619543,2.63971,5.211443
15.360971,-4.614115,2.037065,3.601832
15.39097,-4.655734,0.378725,1.667787
15.420969,-4.505664,0.153898,0.373693
15.460947,-1.270325,2.365922,0.322141
15.490915,0.241246,1.506336,-0.872349
15.520914,1.605327,-0.967274,-3.250756
15.560892,2.134901,-3.552077,-5.562905
15.590891,5.100443,-2.507773,-4.313545
