time_tick,acc_X_value,acc_Y_value,acc_Z_value
9.662433,-30.651664,-10.107334,-5.40241
9.698983,-43.57438,-26.993942,-13.698016
9.731865,-23.294319,-19.778757,-13.765355
9.763905,-7.390117,-13.012352,-8.685426
9.798759,0.555774,-8.546857,-1.706977
9.832369,6.241458,-5.003761,2.415536
9.862884,11.31151,-6.18175,4.120718
9.898959,11.119967,-11.791864,2.17117
9.931805,8.127707,-13.557501,-0.76692
9.965096,1.376565,-16.333228,-6.766405
9.998414,-12.886353,-29.392269,-13.938492
10.03237,-30.145123,-39.428821,-13.39469
10.0626,-31.10194,-24.689291,-5.845502
10.095858,-20.165285,-5.629717,-3.79704
10.130681,-6.764011,13.164689,-3.433108
10.164846,0.610094,18.635635,-0.236137
10.197045,-0.249455,17.481439,1.052588
10.230824,-4.880305,13.088071,2.662447
10.262818,-8.759051,9.259157,3.465581
10.295766,-14.770956,4.004894,2.99675
10.330127,-30.547064,-14.573577,0.180918
10.362811,-43.113929,-29.131292,-6.320469
10.396334,-21.380086,-19.524065,-9.265293
10.429805,-5.874832,-13.127577,-5.822906
10.462952,1.912736,-8.617189,1.232908
10.495352,7.284619,-5.52392,3.289302
10.52976,10.626894,-8.889839,1.018021
10.562885,8.592498,-13.437637,-4.43407
10.596873,6.189831,-15.547304,-12.470046
10.631099,-2.247487,-18.024493,-15.124113
10.663699,-13.988922,-26.274009,-15.616439
10.696291,-30.747136,-29.132339,-13.350545
10.729893,-27.562136,-13.482979,-7.501751
10.76298,-15.948347,0.502202,-4.451728
10.796792,-4.771515,14.729954,-0.878853
10.833277,-1.050045,19.492191,1.958677
10.862566,-3.047628,17.466175,3.601158
10.896299,-7.570886,12.95878,4.915023
10.929857,-11.37885,7.573729,4.651651
10.963129,-18.775401,-2.205288,1.91947
10.996446,-35.289249,-19.642432,-4.335605
11.029651,-36.459008,-28.962494,-10.09192
11.063092,-15.521415,-18.881648,-7.920601
11.096481,-3.562101,-11.929536,-3.075163
11.12967,3.719525,-5.124822,2.693723
11.162665,8.091942,-3.441937,3.912415
11.196553,8.039867,-3.833403,2.90038
11.229703,9.091707,-7.981506,0.356599
11.262324,9.071056,-12.161482,-6.078945
11.296484,1.456774,-14.113425,-9.06926
11.329516,-9.727689,-23.558888,-10.824572
11.362674,-28.537359,-32.609892,-13.531463
11.396866,-32.395603,-22.107052,-8.057375
11.429679,-20.830448,-6.698767,-3.542049
11.463483,-12.186622,5.352728,-2.387104
11.496486,-4.515775,15.825639,0.502052
11.529648,-1.875176,17.560899,3.339282
11.562953,-2.480631,15.467245,5.604128
11.596746,-7.108489,10.023982,5.511799
11.632549,-13.724952,3.18919,4.089592
11.664202,-28.56624,-13.250584,1.659091
11.69766,-34.512602,-28.023635,-0.736243
11.730601,-21.341778,-22.045997,-2.297468
11.764888,-6.577556,-14.158916,-2.70734
11.795992,0.512826,-8.339452,-1.196695
11.831641,7.060304,-4.717644,1.714759
11.863052,9.273972,-6.864272,2.407306
11.898435,8.790775,-15.416665,-0.728911
11.933525,6.401276,-19.243335,-6.16933
11.967705,-0.588097,-19.164174,-11.272902
11.997842,-9.621443,-24.220609,-13.227838
12.031242,-26.627915,-29.70607,-10.249345
12.062745,-27.347249,-17.113766,-5.071549
12.097083,-17.812449,-2.816131,-3.640963
12.131099,-7.084995,15.687519,-0.690453
12.16868,-3.011415,20.526373,2.656761
12.197673,-2.645837,18.085398,4.168604
12.232096,-8.015624,12.418719,4.968146
12.262692,-12.826944,8.656695,4.151095
12.298615,-22.317599,-0.472722,2.248984
12.331218,-37.513541,-17.699169,-3.132177
12.362588,-41.684689,-23.707034,-5.709627
12.39749,-13.96034,-15.079969,-5.454635
12.431553,-2.774081,-11.478213,-2.019282
12.462913,1.501817,-10.97631,2.029458
12.497435,6.956003,-12.311574,3.03446
12.528996,5.277308,-15.726576,0.710505
12.562953,6.835241,-18.133732,-2.569818
12.596482,2.189576,-16.43738,-6.676021
12.628686,-5.575547,-16.334425,-7.521803
12.663054,-12.684185,-27.56468,-10.802126
12.696631,-32.935664,-26.006448,-10.913759
12.72967,-28.764517,-9.186281,-5.372032
12.763008,-17.335686,4.487642,-4.734852
12.796319,-7.967589,14.458053,-2.268437
12.829805,-3.341976,17.924531,1.042263
12.863114,-3.069326,15.929791,3.06783
12.896404,-4.763883,12.859866,4.8197
12.9297,-10.355741,7.903841,4.978621
12.963954,-23.312126,-4.093483,4.060112
12.99675,-41.108863,-23.403558,1.704583
13.030179,-32.41775,-21.895157,0.283873
13.06253,-10.177366,-13.808752,-1.628714
13.095403,-1.470691,-9.581339,0.518513
13.129857,4.518469,-8.645771,2.642844
13.162802,9.089612,-10.232285,2.528667
13.196356,6.44587,-13.437338,0.988242
13.228861,6.237866,-18.314052,-2.222048
13.2628,-3.297233,-20.727643,-7.821687
13.29645,-14.874958,-22.972587,-10.187542
13.329737,-26.098777,-29.026841,-9.445014
13.363583,-31.292435,-19.574794,-5.596796
13.39608,-15.48595,0.121211,-3.654131
13.429919,-6.990421,12.601433,-2.667834
