time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
8.63324,1.676882,0.800608,-4.617993
8.663208,0.985196,-3.486856,-4.935148
8.703186,2.17304,-4.842068,-4.398254
8.733185,1.318353,-4.368946,-0.909025
8.763153,0.038662,-3.623104,1.491442
8.803131,1.772327,-1.966586,1.075834
8.83313,2.808284,-1.170855,1.604943
8.863098,3.012507,-1.540663,1.508443
8.903076,4.102748,-2.647982,0.248808
8.933075,2.066953,-3.198927,-0.312857
8.963043,-0.655655,-1.754438,0.026362
9.003021,-1.970099,3.101694,1.510925
9.03302,-2.694681,4.637346,0.564776
9.062988,-1.556017,4.221658,0.618109
9.102966,-3.428299,1.525556,4.177225
9.132965,-5.261757,-1.243408,4.146239
9.162933,-3.871272,0.579824,2.828878
9.202911,-1.309254,2.16567,0.045453
9.23291,-1.614315,1.580265,-2.510632
9.262878,-0.771444,1.6947,-3.735371
9.302857,1.46643,0.266941,-5.067237
9.332855,0.563314,-2.638127,-4.884759
9.362824,1.643406,-4.121749,-5.758586
9.402802,0.324126,-3.916297,0.279243
9.4328,-0.829762,-4.432545,1.619646
9.462769,0.829501,-2.594587,1.689498
9.502747,2.834852,-0.262068,2.166534
9.532745,3.233858,-0.700806,1.847602
9.562714,3.102488,-1.361498,0.232993
9.602662,0.005822,-1.681498,-1.123461
9.63266,-0.637775,0.342665,0.282574
9.662659,-0.377337,3.017022,1.706465
9.702637,-1.585578,3.60657,0.938611
9.732606,-0.399859,4.0435,3.752261
9.762604,-2.72058,0.676608,4.81646
9.802582,-4.215731,-2.252255,3.894121
9.832551,-3.998293,-0.776692,2.553863
9.862549,-3.475546,1.301311,0.238863
9.902527,-1.911771,2.881423,-3.097924
9.932496,0.044143,2.612541,-3.729693
9.962494,0.829675,-0.801176,-5.399185
10.002473,0.93149,-4.618602,-4.896515
10.032441,2.796512,-4.467996,-4.232774
10.06244,1.127472,-5.645058,0.04879
10.102418,0.536856,-4.96243,2.069374
10.132386,1.628448,-2.434842,1.963343
10.162385,2.795258,-0.69398,1.768915
10.202363,3.385444,-0.779966,0.971613
10.232331,3.172975,-1.679593,0.142181
10.26233,1.621854,-2.288133,0.015598
10.302308,0.183053,-0.963698,1.621144
10.332276,-1.741607,0.786176,2.17339
10.362275,-1.672958,3.123906,1.284043
10.402253,-1.81543,2.715366,2.189231
10.432221,-4.422491,-0.758481,3.827556
10.46222,-5.792976,-2.053797,2.733368
10.502198,-3.854967,1.960648,0.370434
10.532166,-2.76393,3.522844,-1.484119
10.562165,-2.081062,2.903246,-3.140883
